,0,1,2,3,4,City
BHK Type,1 BHK,2 BHK,3 BHK,4 BHK,Others,Ahmedabad
Q4 22,4000,5000,6100,8300,7800,Ahmedabad
Q1 23,4100,5050,6200,8200,7900,Ahmedabad
Q2 23,4100,5100,6300,8300,8050,Ahmedabad
Q3 23,4200,5200,6300,8350,8200,Ahmedabad
Q4 23,4100,5250,6350,8400,8250,Ahmedabad
Q1 22,3500,4200,5200,8000,6000,Ahmedabad
Q2 22,3700,4400,5400,8200,6200,Ahmedabad
Q3 22,4000,4700,5700,8500,6500,Ahmedabad
BHK Type,1 BHK,2 BHK,3 BHK,4 BHK,Others,Bengaluru
Q4 22,7000,7000,8200,1300,9000,Bengaluru
Q1 23,7100,7200,9000,1400,9100,Bengaluru
Q2 23,7000,7200,9000,1350,8800,Bengaluru
Q3 23,8200,7300,10100,1500,9000,Bengaluru
Q4 23,9500,8000,11000,14100,9800,Bengaluru
Q1 22,7000,7000,8200,13000,8500,Bengaluru
Q2 22,7100,7500,8500,14000,8600,Bengaluru
Q2 22.1,7000,7500,8450,13500,8200,Bengaluru
BHK,1 BHK,2 BHK,3 BHK,4 BHK,Others,chennai
Q3 22,7500,6500,8200,13000,7600,chennai
Q4 22,7000,6500,8100,12500,7500,chennai
Q1 23,7000,6800,8300,14100,7800,chennai
Q2 23,7000,6800,8400,14300,7600,chennai
Q3 23,7400,6800,8300,14200,7900,chennai
Q1 22,6600,6200,7800,11900,7000,chennai
Q2 22,7000,6300,7800,11800,6900,chennai
Q3 22.1,7000,6200,7900,12000,7000,chennai
BHK,1 BHK,2 BHK,3 BHK,4 BHK,Others,delhi
Q4 22,6000,6100,7000,10600,12100,delhi
Q1 23,6100,5500,6800,10000,10800,delhi
Q2 23,6200,5600,7100,11000,11200,delhi
Q3 23,6200,5500,7200,11000,11200,delhi
Q4 23,6500,5700,7300,11100,12200,delhi
Q1 22,5700,5900,7000,10100,9000,delhi
Q2 22,5800,5800,7000,10100,9100,delhi
Q3 22,6000,5800,7200,10200,9800,delhi
BHK Type,1 BHK,2 BHK,3 BHK,4 BHK,Others,Kolkata
Q4 22,4000,5000,7500,12500,5900,Kolkata
Q1 23,4200,5200,7700,12800,6000,Kolkata
Q2 23,4100,5300,7800,12900,6200,Kolkata
Q3 23,4300,5500,7900,13000,6300,Kolkata
Q4 23,4400,5600,8000,13200,8500,Kolkata
Q1 22,4000,4900,6000,12500,5700,Kolkata
Q2 22,4100,5000,6300,12500,5700,Kolkata
Q3 22,4000,5000,7000,12550,5800,Kolkata
BHK Type,1 BHK,2 BHK,3 BHK,4 BHK,Others,Pune
Q4 22,6500,8000,10000,12000,8500,Pune
Q1 23,6600,8200,10200,12200,8600,Pune
Q2 23,6700,8300,10300,12300,8700,Pune
Q3 23,6800,8500,10400,12400,8800,Pune
Q4 23,7000,8600,10500,12500,10500,Pune
Q1 22,5900,7000,8200,12000,8100,Pune
Q2 22,5950,7300,8400,12100,8150,Pune
Q3 22,6000,7800,9000,13000,8100,Pune
